sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
037043005,11,11,1,32,3,2,3,0,2,0,0,1,1,5
037143002,8,7,1,16,2,1,2,0,0,1,0,0,0,0
127027012,17,16,2,44,3,2,5,1,2,2,0,0,1,4
207049001,27,21,5,31,2,2,4,1,3,0,0,0,1,1
157132005,15,2,0,14,1,0,4,1,1,1,2,0,1,0
157111002,30,21,2,21,3,1,10,1,1,0,0,1,3,0
157110003,18,9,1,14,2,0,5,0,1,0,0,0,5,0
157002004,21,12,4,22,2,1,3,1,0,0,0,1,2,0
157078002,19,12,1,33,2,0,4,0,1,0,0,0,2,0
267094001/267094002/267094005,15,23,4,63,5,2,7,3,7,1,2,4,1,1
147006001,32,40,6,41,4,1,9,1,4,0,2,5,4,1
147028002,24,26,4,51,3,2,8,2,4,0,0,0,0,3
047266001,11,6,5,12,1,0,1,0,2,0,0,0,0,1
047035001,7,17,4,52,3,1,1,1,5,0,1,1,5,4
047250003,24,14,8,40,2,0,4,1,1,0,0,2,0,2
217139004,19,14,1,38,4,1,5,0,1,0,1,1,1,2
037103002,19,29,0,57,3,1,8,1,3,0,1,3,1,1
217009010,10,18,2,25,1,1,4,0,0,0,1,2,0,7
207025001,14,16,2,25,1,0,1,1,0,0,0,0,1,0
157030001,20,19,5,48,4,2,6,1,1,0,0,1,1,4
157097002/157097009,16,11,3,21,2,1,3,0,1,0,0,1,0,1
057087001,11,17,0,29,3,2,4,1,3,0,1,2,1,2
057004003,13,14,3,17,3,0,7,1,3,0,0,0,0,0
057068002,11,3,1,22,3,1,2,2,1,0,0,0,0,1
057074002,21,11,3,46,0,4,8,3,4,1,4,1,0,0
217047007,25,20,2,30,7,0,5,2,4,0,0,2,2,1
037142006,25,19,4,39,1,0,7,1,1,0,2,2,3,9
067110004,21,10,5,12,5,1,2,1,4,0,3,0,3,1
207068001,16,17,1,34,3,0,6,0,2,0,0,0,0,0
057148001,27,18,2,36,3,6,9,0,3,1,3,2,0,2
057119006,19,6,1,9,3,1,5,0,0,0,1,0,3,0
057135003,28,15,1,32,2,4,7,2,1,1,1,1,2,2
047169003,27,16,2,44,4,1,4,0,1,1,1,1,2,3
047169002,21,11,3,46,2,1,6,0,6,0,0,3,2,4
047171002,17,2,3,43,6,2,2,2,3,0,1,0,3,0
067089001/067089004,39,15,5,42,4,0,6,0,3,0,0,1,2,1
057050004/057050005,27,17,0,21,3,1,3,0,1,0,0,0,0,1
197112001,26,16,1,44,3,1,11,0,2,0,2,1,5,1
067131006,27,12,1,27,5,0,3,1,0,1,1,1,1,0
137015001,21,18,2,22,1,1,4,2,0,0,1,2,0,5
057071001,26,11,4,28,4,1,5,1,2,0,0,0,5,1
057129006,15,20,2,39,1,1,5,0,2,0,0,1,1,0
057023001,20,3,0,15,1,1,4,0,2,0,1,1,1,4
167028005,17,18,6,50,8,0,6,1,2,0,1,2,2,0
077065008,33,17,9,21,2,0,17,1,0,0,3,0,3,5
047294001,27,12,6,22,4,1,6,3,0,0,3,0,1,1
027008011,27,19,4,22,4,2,11,1,1,1,1,1,5,1
147025005/147025009,47,33,14,52,9,0,10,2,1,0,2,2,2,9
077102041,18,4,4,21,3,1,8,2,1,0,1,0,4,11
147026003,17,20,2,65,3,1,6,2,5,1,2,2,0,4
077102031,26,21,2,29,3,2,5,1,1,0,0,0,1,4
057039003,28,21,9,34,8,5,15,0,1,0,1,1,1,1
077106004/077106014,37,27,4,28,4,2,6,1,3,0,0,1,1,5
077043003,30,11,5,29,4,0,8,0,0,0,0,0,1,4
207011001,27,7,2,25,9,1,5,0,0,0,0,0,0,2
057038002,31,18,5,16,3,0,24,1,4,1,2,3,4,1
